Name,Funding
Paytm,4.4 billion
Ola Cabs,3.6 billion
OYO,3.2 billion
Renew Power,2.8 billion
Swiggy,1.8 billion
BYJU's,1.4 billion
Bigbasket,1.1 billion
Delhivery,934 million
Zomato,914.6 million
Policy Bazaar,496 million
